"ID","shape","outlierType","outlierPosition","choice","success","rt","majorityOfMostRegularShapes","rot1","rot2","rot3","rot4","rot5","rot6","dil1","dil2","dil3","dil4","dil5","dil6","usedTouchscreen","population","age","classe"
"02aph9s245","random","2","1","5",FALSE,6391,TRUE,15,25,-5,-15,5,-25,0.925,0.975,1.025,1.125,1.075,0.875,TRUE,"french_adults_2",NA,NA
"02aph9s245","rightKite","2","5","4",FALSE,5751,TRUE,5,-5,15,-15,25,-25,0.875,1.075,0.925,1.025,0.975,1.125,TRUE,"french_adults_2",NA,NA
"02aph9s245","random","3","0","4",FALSE,2879,FALSE,-15,15,-5,25,-25,5,1.125,1.075,0.975,0.875,1.025,0.925,TRUE,"french_adults_2",NA,NA
"02aph9s245","losange","0","1","4",FALSE,7467,FALSE,25,5,-15,15,-5,-25,1.125,0.925,0.875,1.025,1.075,0.975,TRUE,"french_adults_2",NA,NA
"02aph9s245","rightKite","0","0","4",FALSE,10817,TRUE,5,-25,15,-15,-5,25,0.875,0.975,1.075,1.125,0.925,1.025,TRUE,"french_adults_2",NA,NA
"02aph9s245","rectangle","1","5","5",TRUE,4108.00000000003,FALSE,-25,15,-15,5,25,-5,1.075,0.875,0.975,0.925,1.025,1.125,TRUE,"french_adults_2",NA,NA
"02aph9s245","random","1","2","4",FALSE,5029.00000000003,TRUE,-25,25,5,-15,-5,15,0.875,0.925,0.975,1.075,1.125,1.025,TRUE,"french_adults_2",NA,NA
"02aph9s245","parallelogram","0","1","3",FALSE,5385,FALSE,-25,25,5,-5,15,-15,1.075,0.975,1.125,0.875,1.025,0.925,TRUE,"french_adults_2",NA,NA
"02aph9s245","losange","1","0","5",FALSE,2182,FALSE,-25,-5,5,-15,15,25,0.925,1.075,0.875,0.975,1.025,1.125,TRUE,"french_adults_2",NA,NA
"02aph9s245","rightKite","1","1","5",FALSE,5085.00000000006,TRUE,15,-25,25,-15,5,-5,0.925,1.025,0.875,1.125,0.975,1.075,TRUE,"french_adults_2",NA,NA
"02aph9s245","isoTrapezoid","3","3","2",FALSE,4831,TRUE,15,25,-15,-25,5,-5,1.125,1.025,0.875,0.975,0.925,1.075,TRUE,"french_adults_2",NA,NA
"02aph9s245","random","2","2","4",FALSE,5036,FALSE,5,15,-5,-15,-25,25,1.125,1.025,1.075,0.975,0.875,0.925,TRUE,"french_adults_2",NA,NA
"02aph9s245","rightKite","2","5","5",TRUE,4791,FALSE,-25,5,-15,15,25,-5,0.925,0.875,1.125,0.975,1.075,1.025,TRUE,"french_adults_2",NA,NA
"02aph9s245","rectangle","2","5","5",TRUE,3631,FALSE,-5,25,5,15,-15,-25,0.875,0.925,1.025,0.975,1.125,1.075,TRUE,"french_adults_2",NA,NA
"02aph9s245","isoTrapezoid","1","0","1",FALSE,4899,FALSE,5,25,-5,-15,-25,15,0.975,1.025,0.925,1.075,0.875,1.125,TRUE,"french_adults_2",NA,NA
"02aph9s245","hinge","2","5","3",FALSE,7980,TRUE,25,5,-25,-5,15,-15,0.875,0.925,1.025,1.075,0.975,1.125,TRUE,"french_adults_2",NA,NA
"02aph9s245","isoTrapezoid","1","0","3",FALSE,1951,TRUE,-25,25,-5,15,-15,5,0.925,1.075,1.025,0.875,1.125,0.975,TRUE,"french_adults_2",NA,NA
"02aph9s245","parallelogram","1","3","3",TRUE,2153,TRUE,5,-25,25,-15,15,-5,1.075,0.975,0.875,0.925,1.125,1.025,TRUE,"french_adults_2",NA,NA
"02aph9s245","kite","0","3","3",TRUE,2525,TRUE,-25,5,25,-15,15,-5,0.975,0.875,0.925,1.125,1.025,1.075,TRUE,"french_adults_2",NA,NA
"02aph9s245","rustedHinge","1","1","1",TRUE,3878,TRUE,-5,-15,15,5,-25,25,0.925,0.875,1.075,1.125,1.025,0.975,TRUE,"french_adults_2",NA,NA
"02aph9s245","hinge","3","3","3",TRUE,3383,TRUE,-15,5,-25,15,-5,25,1.125,1.075,0.925,0.875,1.025,0.975,TRUE,"french_adults_2",NA,NA
"02aph9s245","isoTrapezoid","0","0","5",FALSE,3380,TRUE,-5,25,-15,5,15,-25,1.125,0.975,1.025,1.075,0.925,0.875,TRUE,"french_adults_2",NA,NA
"02aph9s245","rectangle","0","3","3",TRUE,4259,TRUE,5,15,-15,-25,25,-5,1.125,0.925,1.025,0.875,1.075,0.975,TRUE,"french_adults_2",NA,NA
"02aph9s245","kite","2","2","1",FALSE,4833,TRUE,-25,15,5,-5,-15,25,1.025,0.875,1.075,0.975,1.125,0.925,TRUE,"french_adults_2",NA,NA
