edo,common_name,culture,pitches,cardinality,popularity,fragment1_name,fragment2_name,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,fragment1_EOS,fragment2_EOS,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,symmetry,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members
24,Rast,Arabic,0 4 7 10 14 18 21,7,0.161220044,S7-9,S17-8777,2,0,11,0.4897959183673469,24.489795918367346,0.00021258503401360581,0.9591836734693877,0.9583333333333334,0.8636548296449087,4.523809523809524,0,4,21,150,"150,200",0.0012755102040816315,0.0005536332179930801,0.07429718875502007,83,120,1.4457831325301205,7,83,83,83,1,8,57,0.4903052244672911,1,0.4285714285714286,72,0,0,0.7857142857142858,28.571428571428573,0.07429718875502007,0,5,2,"0,3,6,10,13,16,20",24-1123401,,24-1123401,"0,3,6,10,13,16,20",24-1123401,4 4 4 3 3 3 3,5
24,Bayati,Arabic,0 3 6 10 14 16 20,7,0.139433551,S6-9,S18-17477,3,0,11,0.6530612244897959,32.6530612244898,0.0003543083900226757,0.9455782312925171,0.9444444444444444,0.8559854460070276,4.523809523809523,1,4,21,100,"100,150,200",0,0.0009876543209876548,0.05311355311355311,91,120,1.3186813186813187,8,91,91,91,1,2,72,0.48914396251789016,1,0.3650793650793651,80,0,0,0.7247619047619047,35.714285714285715,0.05311355311355311,1,5,4,"0,2,6,10,13,16,20",24-1123397,,24-1123397,"0,2,6,10,13,16,20",24-1123397,4 4 4 4 3 3 2,15
24,Huzam,Arabic,0 3 7 9 15 17 21,7,0.11546841,S7-9,S17-2629,4,0,11,1.0612244897959184,53.06122448979592,0.0009212018140589571,0.9115646258503401,0.8958333333333334,0.8190534129339742,4.523809523809524,1,7,21,100,"100,150,200,300",0.0012755102040816334,0.0024913494809688584,0.033653846153846145,104,125,1.2019230769230769,9,104,104,107,0,,91,0.49635614292138275,0.9285714285714286,0.2063492063492064,100,0,10,0.6394805194805195,64.28571428571429,0.033653846153846145,2,3,2,"0,2,6,9,12,16,18",24-332357,,24-332357,"0,2,6,9,12,16,18",24-332357,6 4 4 3 3 2 2,90
24,Hijaz,Arabic,0 2 8 10 14 16 20,7,0.102396514,S2-1,S22-69957,3,0,11,1.2244897959183674,61.224489795918366,0.0011337868480725617,0.8979591836734694,0.8888888888888888,0.811384029296093,4.523809523809523,1,6,21,100,"100,200,300",0,0.0020469850015304536,0.09465020576131689,81,127,1.5679012345679013,6,81,81,94,0,,51,0.4961702636517886,0.8714285714285714,0.3492063492063492,82,0,18,0.7104978354978355,71.42857142857143,0.09465020576131689,3,4,5,"0,2,6,8,12,16,18",24-332101,"0,1,3,4,6,8,9",12-859,"0,2,6,8,12,16,18",24-332101,6 4 4 4 2 2 2,20
24,Nahawand,Arabic,0 4 6 10 14 16 22,7,0.098039216,S6-5,S18-5189,3,0,11,1.2244897959183674,61.224489795918366,0.0011337868480725615,0.8979591836734694,0.8888888888888888,0.8113840292960932,4.523809523809524,1,6,21,100,"100,200,300",0.0069444444444444415,0.0019753086419753074,0.09465020576131689,81,127,1.5679012345679013,6,81,81,94,0,,51,0.4961702636517886,0.8714285714285714,0.3492063492063492,82,0,18,0.7104978354978355,71.42857142857143,0.09465020576131689,3,4,5,"0,2,6,8,12,16,18",24-332101,"0,1,3,4,6,8,9",12-859,"0,2,6,8,12,16,18",24-332101,6 4 4 4 2 2 2,20
24,Hijazkar,Arabic,0 2 8 10 14 16 22,7,0.063180828,S2-1,S22-82245,3,0,11,1.6326530612244898,81.63265306122449,0.0017006802721088426,0.8639455782312925,0.8888888888888888,0.7744519962230396,4.952380952380952,2,7,21,100,"100,200,300",0,0.0020469850015304557,0.0970464135021097,79,125,1.5822784810126582,6,79,79,94,1,4,50,0.5115417327692715,0.8142857142857143,0.33333333333333337,84,4,22,0.6997619047619048,85.71428571428571,0.0970464135021097,4,4,6,"0,2,4,10,12,16,18",24-332821,"0,1,2,5,6,8,9",12-871,"0,2,4,10,12,16,18",24-332821,6 6 4 2 2 2 2,15
24,Kurd,Arabic,0 2 6 10 14 16 20,7,0.047930283,S6-5,S18-17477,2,0,11,0.8163265306122448,40.81632653061224,0.0005668934240362815,0.9319727891156463,0.9166666666666666,0.8483160623691467,4.523809523809524,1,4,21,100,"100,200",0.006944444444444446,0.0009876543209876548,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,12,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,2,6,10,12,16,20",24-1119301,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,4 4 4 4 4 2 2,3
24,Saba,Arabic,0 3 6 8 14 16 20,7,0.045751634,S6-9,S18-5189,4,0,11,1.0612244897959182,53.06122448979591,0.001062925170068028,0.9115646258503401,0.8958333333333334,0.819053412933974,4.738095238095238,1,5,21,100,"100,150,200,300",0,0.0019753086419753087,0.03044871794871795,104,123,1.1826923076923077,10,104,104,109,3,"5,7,12",90,0.5010634146195916,0.9071428571428571,0.17460317460317465,104,2,11,0.6194805194805195,78.57142857142857,0.03044871794871795,2,3,4,"0,2,6,10,13,16,18",24-336965,,24-336965,"0,2,6,10,13,16,18",24-336965,6 4 4 3 3 2 2,90
24,Rahat al-Arwah,Arabic,0 3 7 9 15 17 21,7,0.032679739,S7-9,S17-2629,4,0,11,1.0612244897959184,53.06122448979592,0.0009212018140589571,0.9115646258503401,0.8958333333333334,0.8190534129339742,4.523809523809524,1,7,21,100,"100,150,200,300",0.0012755102040816334,0.0024913494809688584,0.033653846153846145,104,125,1.2019230769230769,9,104,104,107,0,,91,0.49635614292138275,0.9285714285714286,0.2063492063492064,100,0,10,0.6394805194805195,64.28571428571429,0.033653846153846145,2,3,2,"0,2,6,9,12,16,18",24-332357,,24-332357,"0,2,6,9,12,16,18",24-332357,6 4 4 3 3 2 2,90
24,Suznak,Arabic,0 4 7 10 14 16 22,7,0.026143791,S7-9,S17-2597,4,0,11,1.0612244897959184,53.06122448979592,0.0009212018140589562,0.9115646258503401,0.8958333333333334,0.8190534129339742,4.523809523809524,1,6,21,100,"100,150,200,300",0.0012755102040816315,0.002491349480968858,0.033653846153846145,104,125,1.2019230769230769,9,104,104,107,0,,91,0.49635614292138275,0.9285714285714286,0.2063492063492064,100,0,10,0.6394805194805195,64.28571428571429,0.033653846153846145,2,3,2,"0,2,6,9,12,16,18",24-332357,,24-332357,"0,2,6,9,12,16,18",24-332357,6 4 4 3 3 2 2,90
