edo,common_name,culture,pitches,cardinality,popularity,fragment1_name,fragment2_name,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,fragment1_EOS,fragment2_EOS,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,symmetry,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members
12,Mohana,Carnatic,0 2 4 7 9,5,2.2,S7-21,S5-5,2,0,5,0.48,48,0.0005555555555555552,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.0015117157974300864,0.0024999999999999988,0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0.18333333333333335,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Madhyamavati,Carnatic,0 2 5 7 10,5,1.639473684,S7-21,S5-5,2,0,5,0.48,48,0.0005555555555555567,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,5,10,200,"200,300",0.001511715797430083,0.0024999999999999988,0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.18821215770016797,1,0.5,20,0,0,1,40,0.18333333333333335,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Hindola,Carnatic,0 3 5 8 10,5,0.921052632,S5-5,S7-21,2,0,5,0.48,48,0.0005555555555555551,0.92,0.9166666666666666,0.7318065577501446,2.2666666666666666,0,4,10,200,"200,300",0.0024999999999999988,0.0015117157974300812,0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0.18333333333333335,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Hamsadhvani,Carnatic,0 2 4 7 11,5,0.723684211,S7-21,S5-3,4,0,5,0.8800000000000001,88.00000000000001,0.0038888888888888888,0.8533333333333333,0.8333333333333334,0.652229086204196,2.933333333333333,1,4,10,100,"100,200,300,400",0.0015117157974300864,0.022500000000000006,0.07500000000000001,20,26,1.3,5,20,20,22,3,"1,3,4",14,0.21759335209342395,0.56,0.09999999999999998,36,3,8,0.6793650793650793,140,0.07500000000000001,1,3,3,"0,1,3,5,8",12-299,"0,1,3,5,8",12-299,"0,2,6,10,16",24-66629,4 3 2 2 1,12
12,Abhogi,Carnatic,0 2 3 5 9,5,0.610526316,S5-11,S7-9,4,0,5,0.8800000000000001,88.00000000000001,0.004999999999999999,0.8533333333333333,0.8333333333333334,0.6522290862041957,3.2,1,5,10,100,"100,200,300,400",0.0029629629629629663,0.0012755102040816315,0.07142857142857145,21,27,1.2857142857142858,6,21,21,23,4,"1,4,5,6",15,0.22371071980343213,0.43999999999999995,0.09999999999999998,36,7,7,0.6571428571428571,140,0.07142857142857145,1,2,2,"0,3,5,6,8",12-361,"0,3,5,6,8",12-361,"0,6,10,12,16",24-70721,4 3 2 2 1,12
12,Bhupala,Carnatic,0 1 3 7 8,5,0.568421053,S7-11,S5-3,3,0,5,1.28,128,0.0038888888888888888,0.7866666666666666,0.8148148148148148,0.572651614658247,2.533333333333333,1,5,10,100,"100,200,400",0.01058201058201059,0.0225,0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22817473108981243,0.8,0.25,30,4,1,0.7111111111111111,120,0.07142857142857145,2,3,2,"0,1,5,6,8",12-355,"0,1,5,6,8",12-355,"0,2,10,12,16",24-70661,4 4 2 1 1,6
12,Asaveri,Carnatic,0 1 5 7 8,5,0.513157895,S7-13,S5-3,3,0,5,1.28,128,0.0038888888888888896,0.7866666666666666,0.8148148148148148,0.5726516146582469,2.533333333333333,1,5,10,100,"100,200,400",0.010582010582010581,0.0225,0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22620084656661227,0.8,0.25,30,4,1,0.7111111111111111,120,0.07142857142857145,2,3,2,"0,2,3,7,8",12-397,"0,2,3,7,8",12-397,"0,4,6,14,16",24-82001,4 4 2 1 1,6
12,Kuntalavarali,Carnatic,0 5 7 9 10,5,0.426315789,S7-5,S5-11,3,0,5,1.0399999999999998,103.99999999999999,0.007222222222222222,0.8266666666666667,0.7407407407407407,0.572651614658247,3.733333333333333,1,4,10,100,"100,200,500",0.011479591836734696,0.0029629629629629663,0.09210526315789475,19,26,1.368421052631579,5,19,19,20,2,"1,4",13,0.24649187170853307,0.43999999999999995,0.25,30,10,4,0.7388888888888889,160,0.09210526315789475,1,3,1,"0,2,4,5,7",12-181,"0,2,4,5,7",12-181,"0,4,8,10,14",24-17681,5 2 2 2 1,4
12,Shuddadhanyasi,Carnatic,0 3 5 7 9,5,0.368421053,S7-21,S5-5,2,0,5,0.48,48,0.00111111111111111,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,3,10,200,"200,300",0.0015117157974300812,0.0024999999999999988,0.08750000000000002,20,27,1.35,5,20,20,20,1,6,13,0.19086915945646266,0.96,0.30000000000000004,28,0,1,0.7555555555555555,60,0.08750000000000002,0,2,2,"0,2,4,6,9",12-597,"0,2,4,6,9",12-597,"0,4,8,12,18",24-266513,3 3 2 2 2,2
12,Amrtavarshini,Carnatic,0 4 6 7 11,5,0.342105263,S7-13,S5-3,3,0,5,1.28,128,0.0038888888888888875,0.7866666666666666,0.8148148148148148,0.5726516146582472,2.533333333333333,1,5,10,100,"100,200,400",0.010582010582010573,0.022500000000000006,0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22620084656661224,0.8,0.25,30,4,1,0.7111111111111111,120,0.07142857142857145,2,3,2,"0,2,3,7,8",12-397,"0,2,3,7,8",12-397,"0,4,6,14,16",24-82001,4 4 2 1 1,6
