edo,common_name,culture,pitches,cardinality,popularity,fragment1_name,fragment2_name,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,fragment1_EOS,fragment2_EOS,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,symmetry,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members
12,Abhogi,Hindustani,0 2 3 5 9,5,0.005571031,S5-11,S7-9,4,0,5,0.8800000000000001,88.00000000000001,0.004999999999999999,0.8533333333333333,0.8333333333333334,0.6522290862041957,3.2,1,5,10,100,"100,200,300,400",0.0029629629629629663,0.0012755102040816315,0.07142857142857145,21,27,1.2857142857142858,6,21,21,23,4,"1,4,5,6",15,0.22371071980343213,0.43999999999999995,0.09999999999999998,36,7,7,0.6571428571428571,140,0.07142857142857145,1,2,2,"0,3,5,6,8",12-361,"0,3,5,6,8",12-361,"0,6,10,12,16",24-70721,4 3 2 2 1,12
12,Bhupal Todi,Hindustani,0 1 3 7 8,5,0.002785515,S7-11,S5-3,3,0,5,1.28,128,0.0038888888888888888,0.7866666666666666,0.8148148148148148,0.572651614658247,2.533333333333333,1,5,10,100,"100,200,400",0.01058201058201059,0.0225,0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22817473108981243,0.8,0.25,30,4,1,0.7111111111111111,120,0.07142857142857145,2,3,2,"0,1,5,6,8",12-355,"0,1,5,6,8",12-355,"0,2,10,12,16",24-70661,4 4 2 1 1,6
12,Bhupali,Hindustani,0 2 4 7 9,5,0.044568245,S7-21,S5-5,2,0,5,0.48,48,0.0005555555555555552,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.0015117157974300864,0.0024999999999999988,0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0.18333333333333335,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Bibhas,Hindustani,0 1 4 7 8,5,0.005571031,S7-19,S5-3,3,0,5,1.1199999999999999,111.99999999999999,0.0027777777777777783,0.8133333333333334,0.8148148148148148,0.6152970531311421,2.2666666666666666,1,4,10,100,"100,300,400",0.006046863189720335,0.0225,0.09523809523809523,21,29,1.380952380952381,5,21,21,22,1,6,14,0.2103310823243601,0.8,0.19999999999999996,32,0,5,0.6888888888888888,100,0.09523809523809523,2,2,2,"0,1,4,7,8",12-403,"0,1,4,7,8",12-403,"0,2,8,14,16",24-82181,4 3 3 1 1,6
12,Chandrakuns,Hindustani,0 3 5 8 11,5,0.008356546,S5-5,S7-19,3,0,5,0.72,72,0.001666666666666667,0.88,0.8888888888888888,0.6948745246770911,2.2666666666666666,1,4,10,100,"100,200,300",0.0024999999999999988,0.006046863189720325,0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"1,2,6",15,0.1949736572086318,0.96,0.25,30,0,1,0.7111111111111111,80,0.07142857142857145,1,2,3,"0,1,4,6,9",12-595,"0,1,4,6,9",12-595,"0,2,8,12,18",24-266501,3 3 3 2 1,4
12,Durga,Hindustani,0 2 5 7 9,5,0.005571031,S7-21,S5-5,2,0,5,0.48,48,0.0005555555555555553,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.001511715797430083,0.0024999999999999988,0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0.18333333333333335,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Gunakri,Hindustani,0 1 5 7 8,5,0,S7-13,S5-3,3,0,5,1.28,128,0.0038888888888888896,0.7866666666666666,0.8148148148148148,0.5726516146582469,2.533333333333333,1,5,10,100,"100,200,400",0.010582010582010581,0.0225,0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22620084656661227,0.8,0.25,30,4,1,0.7111111111111111,120,0.07142857142857145,2,3,2,"0,2,3,7,8",12-397,"0,2,3,7,8",12-397,"0,4,6,14,16",24-82001,4 4 2 1 1,6
12,Hansadhvani,Hindustani,0 2 4 7 11,5,0.011142061,S7-21,S5-3,4,0,5,0.8800000000000001,88.00000000000001,0.0038888888888888888,0.8533333333333333,0.8333333333333334,0.652229086204196,2.933333333333333,1,4,10,100,"100,200,300,400",0.0015117157974300864,0.022500000000000006,0.07500000000000001,20,26,1.3,5,20,20,22,3,"1,3,4",14,0.21759335209342395,0.56,0.09999999999999998,36,3,8,0.6793650793650793,140,0.07500000000000001,1,3,3,"0,1,3,5,8",12-299,"0,1,3,5,8",12-299,"0,2,6,10,16",24-66629,4 3 2 2 1,12
12,Hindol,Hindustani,0 4 6 9 11,5,0,S6-5,S6-13,4,0,5,0.8800000000000001,88.00000000000001,0.0027777777777777783,0.8533333333333333,0.8333333333333334,0.6522290862041957,2.5333333333333328,1,5,10,100,"100,200,300,400",0.0069444444444444415,0.006172839506172843,0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"1,3,4,6",15,0.21052265156463665,0.8,0.19999999999999996,32,2,3,0.6793650793650793,120,0.07142857142857145,1,3,1,"0,2,5,7,8",12-421,"0,2,5,7,8",12-421,"0,4,10,14,16",24-82961,4 3 2 2 1,12
12,Malkauns,Hindustani,0 3 5 8 10,5,0.044568245,S5-5,S7-21,2,0,5,0.48,48,0.0005555555555555551,0.92,0.9166666666666666,0.7318065577501446,2.2666666666666666,0,4,10,200,"200,300",0.0024999999999999988,0.0015117157974300812,0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0.18333333333333335,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Megh,Hindustani,0 2 5 7 10,5,0.008356546,S7-21,S5-5,2,0,5,0.48,48,0.0005555555555555567,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,5,10,200,"200,300",0.001511715797430083,0.0024999999999999988,0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.18821215770016797,1,0.5,20,0,0,1,40,0.18333333333333335,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Dhani,Hindustani,0 2 3 5 7 10,6,0.002785515,S7-43,S5-5,3,0,5,0.3333333333333333,33.33333333333333,0.001736111111111111,0.9444444444444444,0.8888888888888888,0.7900613100596456,1.6666666666666663,1,5,15,100,"100,200,300",0.001594387755102041,0.0024999999999999988,0.16774193548387095,31,57,1.8387096774193548,5,31,31,41,1,1,15,0.3334975269016424,0.7538461538461538,0.31999999999999995,51,0,16,0.895054945054945,83.33333333333333,0.16774193548387095,1,5,4,"0,2,4,5,7,9",12-693,"0,2,4,5,7,9",12-693,"0,4,8,10,14,18",24-279825,3 2 2 2 2 1,5
12,Gorakh kalyan,Hindustani,0 2 5 7 9 10,6,0,S7-21,S5-11,3,0,5,0.3333333333333333,33.33333333333333,0.0017361111111111112,0.9444444444444444,0.8888888888888888,0.7900613100596456,1.6666666666666663,1,5,15,100,"100,200,300",0.001511715797430083,0.0029629629629629663,0.16774193548387095,31,57,1.8387096774193548,5,31,31,41,1,1,15,0.3334975269016424,0.7538461538461538,0.31999999999999995,51,0,16,0.895054945054945,83.33333333333333,0.16774193548387095,1,5,4,"0,2,4,5,7,9",12-693,"0,2,4,5,7,9",12-693,"0,4,8,10,14,18",24-279825,3 2 2 2 2 1,5
