edo,common_name,culture,pitches,cardinality,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,EOS_sqrt,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members,largest_error,mean_error
24,,Kauwerawet,0 8 12 19,4,4,0,11,1.5,75,0.0011935763888888881,0.034548174899535405,0.875,0.875,0.5831281875389611,0.5,0,4,6,200,"200,250,350,400",0.030303030303030276,11,12,1.0909090909090908,6,11,11,11,5,"4,5,7,8,11",9,0.09505400110233767,1,0.05555555555555558,17,0,0,0.7083333333333333,62.5,0,0,0,"0,4,11,16",24-67601,,24-67601,0 8 12 19,24-67601,8 7 5 4,6,25,17.75
24,,Bushmen,0 10 14 19,4,3,0,11,2,100,0.0037977430555555577,0.06162583107395435,0.8333333333333334,0.7962962962962963,0.52487343522946,2.5,0,3,6,200,"200,250,500",0.07407407407407411,9,11,1.2222222222222223,4,9,9,10,3,"4,9,10",6,0.10968004503635477,0.4285714285714286,0.11111111111111116,16,2,2,0.775,112.5,0,2,0,"0,4,9,14",24-16913,,24-16913,0 10 14 19,24-16913,10 5 5 4,3,11,6.25
24,,Vietnam,0 4 6 14 18,5,4,0,11,1.7600000000000002,88.00000000000001,0.002777777777777778,0.05270462766947299,0.8533333333333333,0.8333333333333334,0.6522290862041957,5.0666666666666655,1,5,10,100,"100,200,300,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"2,6,8,12",15,0.2105226515646367,0.8,0.19999999999999996,32,2,3,0.6793650793650793,120,1,3,1,"0,4,10,14,16",24-82961,0 2 3 7 9,12-421,0 4 6 14 18,24-82961,8 6 4 4 2,12,20,11.2
24,,Unique,0 10 14 18 22,5,3,0,11,2.0799999999999996,103.99999999999999,0.0055555555555555575,0.074535599249993,0.8266666666666667,0.7407407407407407,0.572651614658247,6.133333333333333,1,3,10,100,"100,200,500",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"2,6,10,12",15,0.2354458740735474,0.52,0.19999999999999996,32,9,3,0.6793650793650793,160,1,2,1,"0,4,8,12,14",24-20753,0 5 7 9 11,12-213,0 10 14 18 22,24-20753,10 4 4 4 2,4,0,0
24,,Sasak,0 2 9 11 16,5,4,0,11,2.2399999999999998,111.99999999999999,0.0034722222222222225,0.05892556509887896,0.8133333333333334,0.8333333333333334,0.6044509067754086,5.2,1,5,10,100,"100,250,350,400",0.03260869565217389,23,26,1.1304347826086956,7,23,23,24,5,"5,7,8,10,11",19,0.21706889300402715,0.8,0.09999999999999998,36,3,2,0.6333333333333334,120,2,1,0,"0,2,9,11,16",24-68101,,24-68101,0 2 9 11 16,24-68101,8 7 5 2 2,12,20,10.8
24,,Ethiopia,0 3 10 12 19,5,4,0,11,1.8399999999999999,92,0.0020833333333333337,0.045643546458763846,0.8466666666666667,0.8541666666666666,0.6533126208076806,4.533333333333333,1,5,10,100,"100,150,250,350",0.03125,24,27,1.125,8,24,24,24,6,"2,3,5,8,10,12",20,0.2048375623425959,0.96,0.09999999999999998,36,0,1,0.6333333333333334,90,1,1,0,"0,2,9,14,17",24-147973,,24-147973,0 3 10 12 19,24-147973,7 7 5 3 2,12,18,9.8
24,,Ethiopia,0 2 9 14 17,5,4,0,11,1.8399999999999999,92,0.0020833333333333324,0.04564354645876383,0.8466666666666667,0.8541666666666666,0.6533126208076806,4.533333333333333,1,5,10,100,"100,150,250,350",0.03125,24,27,1.125,8,24,24,24,6,"2,3,5,8,10,12",20,0.20483756234259584,0.96,0.09999999999999998,36,0,1,0.6333333333333334,90,1,1,0,"0,2,9,14,17",24-147973,,24-147973,0 2 9 14 17,24-147973,7 7 5 3 2,12,21,10.4
24,,Bali,0 3 6 13 16,5,3,0,11,2.16,108,0.0029166666666666655,0.05400617248673216,0.82,0.8333333333333334,0.6291827123283997,5.066666666666666,0,4,10,150,"150,350,400",0.059523809523809534,21,26,1.2380952380952381,6,21,21,21,3,"6,7,8",16,0.22279575329678858,0.84,0.25,30,4,0,0.7111111111111111,100,0,2,1,"0,3,6,13,16",24-73801,,24-73801,0 3 6 13 16,24-73801,8 7 3 3 3,4,19,9.8
24,,Ethiopia,0 4 8 15 17,5,3,0,11,1.7600000000000002,88.00000000000001,0.0018055555555555533,0.042491829279939844,0.8533333333333333,0.8518518518518519,0.6627056590849099,4.533333333333333,1,4,10,100,"100,200,350",0.04545454545454547,22,26,1.1818181818181819,6,22,22,22,2,"2,8",17,0.2026894068427445,1,0.19999999999999996,32,0,0,0.6888888888888888,80,1,0,0,"0,2,9,13,17",24-139781,,24-139781,0 4 8 15 17,24-139781,7 7 4 4 2,6,23,13
24,,Ethiopia,0 7 11 14 21,5,3,0,11,1.7600000000000002,88.00000000000001,0.0018055555555555557,0.04249182927993988,0.8533333333333333,0.8703703703703703,0.6703750427227908,4.8,0,5,10,150,"150,200,350",0.09210526315789475,19,26,1.368421052631579,5,19,19,20,2,"4,11",13,0.20737065965585938,0.84,0.25,30,0,4,0.7388888888888889,80,0,3,0,"0,4,7,14,17",24-147601,,24-147601,0 7 11 14 21,24-147601,7 7 4 3 3,6,23,11.6
