edo,common_name,culture,pitches,cardinality,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,symmetry,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members
12,,,0 1 2 3 4,5,2,0,5,2.2399999999999998,223.99999999999997,0.027222222222222214,0.6266666666666667,0.41666666666666663,0.180477662328345,6.8,4,2,10,100,"100,800",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.40789601194710057,0.4,0.5,20,15,0,1,280,0.18333333333333335,4,0,0,"0,1,2,3,4",12-31,0 1 2 3 4,12-31,0 2 4 6 8,24-341,8 1 1 1 1,1
12,,,0 1 2 3 5,5,3,0,5,1.8399999999999999,184,0.02055555555555555,0.6933333333333334,0.5925925925925926,0.2969871669473473,6,3,3,10,100,"100,200,700",0.09210526315789475,19,26,1.368421052631579,5,19,19,21,3,"3,4,5",13,0.3585939694637831,0.16000000000000003,0.19999999999999996,32,15,6,0.7111111111111111,260,0.09210526315789475,3,1,0,"0,1,2,3,5",12-47,0 1 2 3 5,12-47,0 2 4 6 10,24-1109,7 2 1 1 1,4
12,,,0 1 2 3 6,5,3,0,5,1.6799999999999997,167.99999999999997,0.01611111111111111,0.72,0.7037037037037037,0.3978873577297436,5.2,3,3,10,100,"100,300,600",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"3,4,5,6",15,0.32177832863804356,0.07999999999999996,0.19999999999999996,32,20,3,0.6793650793650793,240,0.07142857142857145,3,1,0,"0,1,2,3,6",12-79,0 1 2 3 6,12-79,0 2 4 6 12,24-4181,6 3 1 1 1,4
12,,,0 1 2 3 7,5,3,0,5,1.6799999999999997,167.99999999999997,0.013888888888888886,0.72,0.7407407407407407,0.45614211003924476,4.666666666666666,3,3,10,100,"100,400,500",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"3,4,5,6",15,0.3058344479633631,0.19999999999999996,0.19999999999999996,32,17,3,0.6793650793650793,220,0.07142857142857145,3,2,1,"0,1,2,3,7",12-143,0 1 2 3 7,12-143,0 2 4 6 14,24-16469,5 4 1 1 1,4
12,,,0 1 2 4 5,5,3,0,5,1.8399999999999999,184,0.017222222222222215,0.6933333333333334,0.5925925925925926,0.29698716694734734,5.333333333333333,2,4,10,100,"100,200,700",0.07500000000000001,20,26,1.3,5,20,20,21,2,"2,5",14,0.33312067063672485,0.31999999999999995,0.25,30,15,2,0.7111111111111111,240,0.07500000000000001,3,1,0,"0,1,2,4,5",12-55,0 1 2 4 5,12-55,0 2 4 8 10,24-1301,7 2 1 1 1,4
12,,,0 1 2 4 6,5,3,0,5,1.44,144,0.012222222222222221,0.76,0.6666666666666667,0.4348193908027971,4.533333333333333,2,3,10,100,"100,200,600",0.07142857142857145,21,27,1.2857142857142858,6,21,21,23,4,"3,4,5,6",15,0.29604535102027596,0.16000000000000003,0.09999999999999998,36,14,7,0.6571428571428571,220,0.07142857142857145,2,1,0,"0,1,2,4,6",12-87,0 1 2 4 6,12-87,0 2 4 8 12,24-4373,6 2 2 1 1,6
12,,,0 1 2 4 7,5,4,0,5,1.28,128,0.009444444444444443,0.7866666666666666,0.7916666666666666,0.5357195815851935,3.999999999999999,2,4,10,100,"100,200,300,500",0.05681818181818182,22,27,1.2272727272727273,6,22,22,25,5,"2,3,4,5,6",16,0.26911363889875595,0.19999999999999996,0.050000000000000044,38,13,7,0.6148148148148148,200,0.05681818181818182,2,2,1,"0,1,2,4,7",12-151,0 1 2 4 7,12-151,0 2 4 8 14,24-16661,5 3 2 1 1,12
12,,,0 1 2 4 8,5,3,0,5,1.28,128,0.008888888888888887,0.7866666666666666,0.8148148148148148,0.572651614658247,3.8666666666666663,2,3,10,100,"100,200,400",0.07954545454545453,22,29,1.3181818181818181,6,22,22,24,4,"2,3,5,6",16,0.2615238241199906,0.19999999999999996,0.09999999999999998,36,13,7,0.6333333333333334,180,0.07954545454545453,2,1,1,"0,1,2,4,8",12-279,0 1 2 4 8,12-279,0 2 4 8 16,24-65813,4 4 2 1 1,6
12,,,0 1 2 5 6,5,3,0,5,1.6800000000000002,168.00000000000003,0.01055555555555555,0.72,0.7037037037037037,0.39788735772974354,3.8666666666666663,2,4,10,100,"100,300,600",0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.2855104004623959,0.31999999999999995,0.25,30,16,1,0.7111111111111111,200,0.07142857142857145,3,2,0,"0,1,2,5,6",12-103,0 1 2 5 6,12-103,0 2 4 10 12,24-5141,6 3 1 1 1,4
12,,,0 1 2 5 7,5,4,0,5,1.28,128,0.007222222222222218,0.7866666666666666,0.7916666666666666,0.5357195815851935,3.333333333333333,2,4,10,100,"100,200,300,500",0.07142857142857145,21,27,1.2857142857142858,6,21,21,24,5,"2,3,4,5,6",15,0.2565352798225474,0.28,0.050000000000000044,38,9,9,0.6333333333333334,180,0.07142857142857145,2,3,0,"0,1,2,5,7",12-167,0 1 2 5 7,12-167,0 2 4 10 14,24-17429,5 3 2 1 1,12
