name,id,set,triads,propriety,lerdahl_instable_modes,unique_step_sizes,IC1,IC2,IC3,IC4,IC5,IC6,IV_sum,num_of_trichords,total_trichords,num_of_triads,consecutive_semitones,subset_of_diatonic,cardinality,step_mean_error,step_mean_error_cents,unevenness,binary_unevenness,subset_of_MOLT,num_of_transpositions,dissonance_min,dissonance_max,dissonance_med,dissonance_mean,violations,role_clarity,motive_strength,lev_penta,lev_dia,stackable_in_3rds,fully_scalar,imperfections,area,inverse_cardinal,prime_form,diatonic_parents,harmonicm_parents,melodicm_parents,unique_diads,total_diads,sameness_quotient,coherence_quotient,note2,note3,note4,note5,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,necklace_family,necklace_family_members,evenness_of_spread,step_similarity,constituent_similarity,roughness,cardinality_variety_ratio,mode_variance,differences,ambiguities,contradictions,virtual_cardinality,edo,fragment1_name,fragment2_name,step_mean_error_min,step_mean_error_max,runs,smallest_step,step_sizes,fragment1_EOS,fragment2_EOS,rahn_differences,rahn_contradictions,rahn_ambiguities,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,symmetry_distinct_triads,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name
31,0,0 1 2 3 4,0,improper,0,2,4,3,2,1,0,0,10,6,10,3,4,false,5,2.2399999999999998,223.99999999999997,6.8,2.3000000000000003,1,12,0.3009374400763299,0.6233585939624566,0.32916412555376956,0.40789601194710057,2,0,6,4,5,false,true,5,0.180477662328345,31,1,0,0,0,4,10,0.5,0.4,1,2,3,4,15,15,15,1,4,7,8 1 1 1 1,1,0.027222222222222214,0.6266666666666667,0.41666666666666663,0.40789601194710057,1,280,20,0,15,9,12,S4-15,S8-1,0,5,2,100,"100,800",0,0,20,15,0,0.18333333333333335,15,26,1.7333333333333334,4,6,4,0,0,"0,1,2,3,4",12-31,"0,1,2,3,4",12-31,"0,2,4,6,8",24-341
47,1,0 1 2 3 5,0,improper,1,3,3,3,2,1,1,0,10,8,12,5,3,false,5,1.8399999999999999,184,6,2.0333333333333337,1,12,0.2695733784707302,0.5325957055787991,0.2695733784707302,0.3585939694637831,4,0.4,6,3,4,false,true,4,0.2969871669473473,61,1,0,0,0,5,13,0.19999999999999996,0.16000000000000003,1,2,3,5,19,19,21,3,"3,4,5",13,7 2 1 1 1,4,0.02055555555555555,0.6933333333333334,0.5925925925925926,0.3585939694637831,0.7111111111111111,260,32,6,15,8,12,S5-15,S7-1,0,5,3,100,"100,200,700",0.003125000000000001,0,32,15,6,0.09210526315789475,19,26,1.368421052631579,5,8,3,1,0,"0,1,2,3,5",12-47,"0,1,2,3,5",12-47,"0,2,4,6,10",24-1109
79,2,0 1 2 3 6,0,improper,1,3,3,2,2,1,1,1,10,9,10,5,3,false,5,1.6799999999999997,167.99999999999997,5.2,1.7666666666666666,2,12,0.22045864365620066,0.4734972610087366,0.22045864365620066,0.32177832863804356,4,0.4,6,3,4,false,false,4,0.3978873577297436,121,1,0,0,0,6,13,0.19999999999999996,0.07999999999999996,1,2,3,6,21,21,22,4,"3,4,5,6",15,6 3 1 1 1,4,0.01611111111111111,0.72,0.7037037037037037,0.32177832863804356,0.6793650793650793,240,32,3,20,8,12,S6-15,S6-1,0,5,3,100,"100,300,600",0.008680555555555556,0,32,20,3,0.07142857142857145,21,27,1.2857142857142858,6,9,3,1,0,"0,1,2,3,6",12-79,"0,1,2,3,6",12-79,"0,2,4,6,12",24-4181
143,3,0 1 2 3 7,1,improper,2,3,3,2,1,1,2,1,10,9,10,5,3,false,5,1.6799999999999997,167.99999999999997,4.666666666666666,1.5,2,12,0.19603604618079667,0.4460850542907812,0.19603604618079667,0.3058344479633631,4,0.4,6,3,4,false,false,3,0.45614211003924476,241,1,0,0,0,6,13,0.19999999999999996,0.19999999999999996,1,2,3,7,21,21,22,4,"3,4,5,6",15,5 4 1 1 1,4,0.013888888888888886,0.72,0.7407407407407407,0.3058344479633631,0.6793650793650793,220,32,3,17,8,12,S7-15,S5-1,0,5,3,100,"100,400,500",0.01434948979591837,0,32,17,3,0.07142857142857145,21,27,1.2857142857142858,6,9,3,2,1,"0,1,2,3,7",12-143,"0,1,2,3,7",12-143,"0,2,4,6,14",24-16469
55,4,0 1 2 4 5,0,improper,0,3,3,2,2,2,1,0,10,9,10,4,2,false,5,1.8399999999999999,184,5.333333333333333,2,2,12,0.27193611726654515,0.4845520074696922,0.27193611726654515,0.33312067063672485,4,0.4,6,3,4,false,true,4,0.29698716694734734,59,1,0,0,0,5,12,0.25,0.31999999999999995,1,2,4,5,20,20,21,2,"2,5",14,7 2 1 1 1,4,0.017222222222222215,0.6933333333333334,0.5925925925925926,0.33312067063672485,0.7111111111111111,240,30,2,15,8,12,S5-15,S7-1,0,5,4,100,"100,200,700",0.003125000000000001,0,30,15,2,0.07500000000000001,20,26,1.3,5,9,3,1,0,"0,1,2,4,5",12-55,"0,1,2,4,5",12-55,"0,2,4,8,10",24-1301
87,5,0 1 2 4 6,0,improper,0,3,2,3,1,2,1,1,10,9,12,5,2,false,5,1.44,144,4.533333333333333,1.6333333333333335,3,12,0.22313345865922168,0.42089708108976176,0.22313345865922168,0.29604535102027596,6,1.2,6,2,3,false,true,4,0.4348193908027971,117,1,0,0,0,6,14,0.09999999999999998,0.16000000000000003,1,2,4,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222222222221,0.76,0.6666666666666667,0.29604535102027596,0.6571428571428571,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222222222223,0,36,14,7,0.07142857142857145,21,27,1.2857142857142858,6,9,2,1,0,"0,1,2,4,6",12-87,"0,1,2,4,6",12-87,"0,2,4,8,12",24-4373
151,6,0 1 2 4 7,1,improper,0,4,2,2,2,1,2,1,10,10,10,5,2,false,5,1.28,128,3.999999999999999,1.3666666666666665,2,12,0.1852032145557887,0.3787628995362852,0.1852032145557887,0.26911363889875595,6,0.8,6,2,3,false,false,3,0.5357195815851935,233,1,0,0,0,6,17,0.050000000000000044,0.19999999999999996,1,2,4,7,22,22,25,5,"2,3,4,5,6",16,5 3 2 1 1,12,0.009444444444444443,0.7866666666666666,0.7916666666666666,0.26911363889875595,0.6148148148148148,200,38,7,13,7,12,S7-23,S5-1,0,5,4,100,"100,200,300,500",0.006696428571428573,0,38,13,7,0.05681818181818182,22,27,1.2272727272727273,6,10,2,2,1,"0,1,2,4,7",12-151,"0,1,2,4,7",12-151,"0,2,4,8,14",24-16661
279,7,0 1 2 4 8,1,improper,1,3,2,2,1,3,1,1,10,10,12,5,2,false,5,1.28,128,3.8666666666666663,1.2333333333333334,3,12,0.17036218932657554,0.3597083640844547,0.17036218932657554,0.2615238241199906,6,0.8,6,3,4,false,false,4,0.572651614658247,285,1,0,0,0,6,16,0.09999999999999998,0.19999999999999996,1,2,4,8,22,22,24,4,"2,3,5,6",16,4 4 2 1 1,6,0.008888888888888887,0.7866666666666666,0.8148148148148148,0.2615238241199906,0.6333333333333334,180,36,7,13,7,12,S4-7,S8-17,0,5,3,100,"100,200,400",0.004629629629629628,0,36,13,7,0.07954545454545453,22,29,1.3181818181818181,6,10,2,1,1,"0,1,2,4,8",12-279,"0,1,2,4,8",12-279,"0,2,4,8,16",24-65813
103,8,0 1 2 5 6,0,improper,1,3,3,1,1,2,2,1,10,9,10,4,2,false,5,1.6800000000000002,168.00000000000003,3.8666666666666663,1.7,3,12,0.222695970738313,0.3981473914652769,0.222695970738313,0.2855104004623959,4,1.2,6,3,3,false,false,3,0.39788735772974354,115,1,0,0,0,6,11,0.25,0.31999999999999995,1,2,5,6,21,21,21,3,"2,3,6",15,6 3 1 1 1,4,0.01055555555555555,0.72,0.7037037037037037,0.2855104004623959,0.7111111111111111,200,30,1,16,7,12,S6-15,S6-1,0,5,4,100,"100,300,600",0.00868055555555556,0,30,16,1,0.07142857142857145,21,27,1.2857142857142858,6,9,3,2,0,"0,1,2,5,6",12-103,"0,1,2,5,6",12-103,"0,2,4,10,12",24-5141
167,9,0 1 2 5 7,0,improper,0,4,2,2,1,1,3,1,10,9,12,5,2,false,5,1.28,128,3.333333333333333,1.3333333333333333,2,12,0.18264484676638976,0.34903935465245367,0.18264484676638976,0.2565352798225474,6,0.8,6,2,4,false,false,2,0.5357195815851935,229,1,0,0,0,6,16,0.050000000000000044,0.28,1,2,5,7,21,21,24,5,"2,3,4,5,6",15,5 3 2 1 1,12,0.007222222222222218,0.7866666666666666,0.7916666666666666,0.2565352798225474,0.6333333333333334,180,38,9,9,7,12,S7-29,S5-1,0,5,4,100,"100,200,300,500",0.006696428571428573,0,38,9,9,0.07142857142857145,21,27,1.2857142857142858,6,9,2,3,0,"0,1,2,5,7",12-167,"0,1,2,5,7",12-167,"0,2,4,10,14",24-17429
295,10,0 1 2 5 8,2,improper,0,3,2,1,2,2,2,1,10,10,10,5,2,false,5,1.1199999999999999,111.99999999999999,3.2,1.1,3,12,0.15363303609701823,0.3148231006314936,0.15363303609701823,0.237304089948955,6,0.8,6,2,3,false,false,3,0.6152970531311421,457,1,0,0,0,6,13,0.09999999999999998,0.43999999999999995,1,2,5,8,22,22,23,4,"2,4,5,6",16,4 3 3 1 1,6,0.00611111111111111,0.8133333333333334,0.8148148148148148,0.237304089948955,0.6571428571428571,160,36,5,9,7,12,S5-7,S7-9,0,5,3,100,"100,300,400",0.011851851851851856,0.0012755102040816334,36,9,5,0.05681818181818182,22,27,1.2272727272727273,6,10,2,2,2,"0,1,2,5,8",12-295,"0,1,2,5,8",12-295,"0,2,4,10,16",24-66581
199,11,0 1 2 6 7,0,improper,0,3,3,1,0,1,3,2,10,7,15,4,2,false,5,1.6800000000000002,168.00000000000003,2.933333333333333,1.3999999999999997,4,12,0.19755403899654134,0.35742310652104414,0.19755403899654134,0.2660345032768016,4,0.8,6,3,3,false,false,2,0.45614211003924476,227,1,0,0,0,5,15,0.25,0.52,1,2,6,7,18,18,21,2,"2,4",11,5 4 1 1 1,4,0.007222222222222218,0.72,0.7407407407407407,0.2660345032768016,0.7111111111111111,160,30,8,4,7,12,S7-15,S5-1,0,5,4,100,"100,400,500",0.014349489795918366,0,30,4,8,0.1527777777777778,18,29,1.6111111111111112,5,7,3,3,0,"0,1,2,6,7",12-199,"0,1,2,6,7",12-199,"0,2,4,12,14",24-20501
327,12,0 1 2 6 8,0,improper,0,3,2,2,0,2,2,2,10,8,14,5,2,false,5,1.28,128,2.8,1.1666666666666667,5,12,0.16398574651730202,0.3138536187951013,0.16398574651730202,0.24352662053739033,6,1.2,6,2,3,false,false,3,0.572651614658247,327,1,0,0,0,5,14,0.19999999999999996,0.6,1,2,6,8,19,19,22,1,2,10,4 4 2 1 1,6,0.005555555555555555,0.7866666666666666,0.8148148148148148,0.24352662053739033,0.6888888888888888,140,32,6,4,7,12,S6-7,S6-5,0,5,4,100,"100,200,400",0.018518518518518517,0.006944444444444446,32,4,6,0.13157894736842107,19,29,1.5263157894736843,5,8,2,2,0,"0,1,2,6,8",12-327,"0,1,2,6,8",12-327,"0,2,4,12,16",24-69653
59,13,0 1 3 4 5,0,improper,0,3,3,2,2,2,1,0,10,9,10,4,2,false,5,1.8399999999999999,184,5.333333333333333,1.9666666666666668,2,12,0.23458652294601912,0.48376646683341984,0.33083952272521855,0.3309625770844583,4,0,6,3,4,false,true,4,0.2969871669473473,55,0,0,0,0,5,12,0.25,0.31999999999999995,1,3,4,5,20,20,21,2,"2,5",14,7 2 1 1 1,4,0.017222222222222215,0.6933333333333334,0.5925925925925926,0.3309625770844583,0.7111111111111111,240,30,2,15,8,12,S5-15,S7-1,0,5,4,100,"100,200,700",0.0031249999999999997,0,30,15,2,0.07500000000000001,20,26,1.3,5,9,3,1,0,"0,1,3,4,5",12-59,"0,1,3,4,5",12-59,"0,2,6,8,10",24-1349
91,14,0 1 3 4 6,0,improper,0,3,2,2,3,1,1,1,10,9,10,5,1,false,5,1.44,144,4.533333333333333,1.7,2,12,0.2096310743089102,0.40594075501333116,0.27186605746069986,0.2861875604818697,6,1.2,6,3,3,false,true,4,0.4348193908027971,109,1,0,1,1,6,11,0.25,0.4,1,3,4,6,21,21,21,3,"4,5,6",15,6 2 2 1 1,6,0.011666666666666664,0.76,0.6666666666666667,0.2861875604818697,0.7111111111111111,200,30,1,14,7,12,S6-27,S6-1,0,5,5,100,"100,200,600",0.0017361111111111119,0,30,14,1,0.07142857142857145,21,27,1.2857142857142858,6,9,2,1,0,"0,1,3,4,6",12-91,"0,1,3,4,6",12-91,"0,2,6,8,12",24-4421
